City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
535,aasiaat,68.7098,-52.8699,-23.44,97,99,3.96,GL,1675830468
536,constitucion,-35.3333,-72.4167,60.31,66,0,9.17,CL,1675830469
537,poopo,-18.3667,-66.9667,46.8,73,99,2.01,BO,1675830469
538,watsa,3.0372,29.5355,62.67,46,14,2.06,CD,1675830470
539,rocha,-34.4833,-54.3333,70.38,77,45,8.05,UY,1675830470
540,hami,42.8,93.45,34.47,77,100,5.06,CN,1675830471
541,san-pedro,4.7485,-6.6363,77.59,90,60,5.37,CI,1675830471
542,izhma,65.0083,53.9113,25.11,95,100,9.53,RU,1675830471
543,batetskiy,58.6461,30.3027,24.67,89,100,9.95,RU,1675830472
544,dubuque,42.4833,-90.8668,30.49,73,0,8.05,US,1675830472
545,pangody,65.85,74.4859,-3.87,94,86,13.15,RU,1675830548
546,maniitsoq,65.4167,-52.9,0.88,92,100,11.1,GL,1675830548
547,zhuhai,22.2769,113.5678,72.86,77,40,8.05,CN,1675830549
548,sao joao da barra,-21.6403,-41.0511,73.65,94,100,3.51,BR,1675830549
549,ko samui,9.5357,99.9357,85.91,70,20,6.91,TH,1675830550
550,muroto,33.2833,134.15,56.01,54,7,6.58,JP,1675830551
551,mishan,45.55,131.8833,12.6,81,50,5.86,CN,1675830552
552,angoram,-4.0625,144.0661,84.85,73,99,6.04,PG,1675830552
553,tres arroyos,-38.3739,-60.2798,72.05,54,22,6.4,AR,1675830553
